,평점,날짜,후기
0,5.0,2024.04.03.,"입장료는 없고, 1박을 위해 방문했습니다~
규모가 그리크지 않지만 아이와 둘러보기 좋았습니다.
한옥집에서 잘 쉬다가 왔습니다."
1,4.8,2024.03.29.,체험도 꽤있고 여유롭게 돌아다니기 좋아요~
2,4.6,2024.03.22.,
3,4.2,2024.01.23.,"넓직한 방에 따뜻한 방바닥, 그리고 화장실과 세면장 신발장이, 방과 구분되어있어서 사용하기 편했다. 또 주위에 족욕장과 온천 그리고 편의점과 식당이 잘 갖춰져서 아주 좋았어요."
4,5.0,2023.11.16.,
5,3.7,2023.10.08.,
6,5.0,2023.09.18.,
7,4.4,2023.08.15.,관광하기엔 볼거리 없는 편!! 숙박이 궁금
8,3.6,2023.08.05.,"한옥의 정취를 느낄수 있어요
겨울에 오면 구들장체험도 가능"
9,3.5,2023.07.23.,"비오는 날 묵으니 한옥과 빗소리에 정말 운치있었어요. 
다음엔 눈 오는날 오려고요. 
영빈관에 미리 주문한 고기로 바베큐장에서 구워 먹었어요. 
족욕장도 있어서 겨울에 눈 덮힌 풍경보며 족욕하려고요."
10,3.6,2023.07.22.,잠깐 걷기 좋지 볼 건 없음.
11,4.1,2023.07.19.,
12,3.7,2023.07.01.,
13,4.4,2023.06.28.,
14,4.3,2023.06.20.,너무 깔끔해요 !!
15,4.7,2023.06.18.,"운치 있고, 국립공주박물관 바로 옆이라서, 연결해서 관람하기 좋아요."
16,4.4,2023.06.14.,
17,3.9,2023.05.27.,"숙박으로 오는거면 좋을 것 같은데, 그냥 방문하기에는 규모가 크지않아요... 한 쪽에 24년8월 완공목표로 확장공사를 하는 듯..,"
18,5.0,2023.05.19.,
19,5.0,2023.05.03.,
20,3.9,2022.12.31.,"야경이 이쁘네요
전주한옥마을같진않고
숙소위주 조용합니다"
21,3.7,2022.12.10.,"가볍게 둘러보기 좋아요
민박위주라서 내부 못봐서 아쉽지만
산책하고 쉴공간 많아서 좋았어요
잘 관리된 한옥마을이었어요"
22,4.5,2022.11.23.,전주한옥마을 느낌은 아님. 숙박시설 중심으로 꾸며진 곳이라 구경할 건 없지만 한옥 좋아하면 가볍게 둘러보기엔 괜찮을 듯.
23,5.0,2022.09.13.,
24,3.0,2022.07.01.,정말 좋습니다
25,4.3,2022.06.13.,"가족과 함께 추억을 만들고 갑니다. 고즈넉한 분위기도 좋고 다양한 체험도 가능합니다. 다만, 취사가 불가하니 참고하세요. 무령왕릉과 공주박물관 모두 걸어서 갈 수 있습니다."
26,3.4,2022.05.30.,공주갈때 자주
27,3.4,2022.04.09.,직원분들 모두 너무 친절함. 최대한 도와주려고하고 물어보면 성심껏 답변주시고..방도 넓고 깨끗함. 시설도좋아요
28,4.5,2022.01.12.,기대도 안했고 별 것 없을 줄 알았는데 생각보다 볼거리 넘침ㅋㅋㅋ 다음에 또 갈 예정입니다
29,4.5,2021.12.26.,
30,4.8,2021.12.03.,
31,3.6,2021.08.16.,이번에는 사진만. 다음에는 숙박도 하고 싶어요.
32,4.6,2021.08.15.,
33,4.5,2021.08.11.,찻집이 시원하고 친절해서 좋았어요
34,5.0,2021.07.30.,
35,3.0,2021.05.03.,월요일 숙박시 식당 및 편의점 휴무라 대략난감...무슨 이런 서비스마인드를 가지고 대차게 장사하는지...ㅉ ㅉ 내가머무는 숙박동만 그런지는 모르나 화장실에서 풍기는 악취까지...1박 가격은 3성급 호텔에 버금가는데 나원참...지금 자리에 누워서 1박 사기당했다고 생각하네요...쩝
36,4.3,2021.04.22.,밤에 찜질방 저리가라입니다^^ 방 따듯하고요. 다만 행랑채는 두명 누우면 딱입니다. 더 남는 공간 없습니다. 그리고 옆방 소음 심합니다. 특히 화장실이나 출입문 및 샤워할때 소음 많이 들립니다. 가능하면 연인들은 독채로 가세요.
37,4.4,2021.03.25.,"무령왕릉 바로 옆에 있어서 세트로 같이 구경하면 좋습니다~ 물론 전주 보다는 그리 화려하지는 않지만
나름 아기자기 한것이 좋습니다~^^"
38,4.6,2021.03.23.,"마을이 아기자기하고 예뻐요. 숙소는 구들장에서 난방을 해주셔서 바닥이 따끈하고, 나무 향도 나서 쾌적합니다. 공주에 또 가게 된다면 꼭 들를게요. 감사합니다."
39,4.0,2020.08.31.,하루 잘 묵고 갑니다. 꼭 다시 오고 싶네요.
40,4.1,2019.08.26.,"진짜 아~~~~~~무것도 없다
근처에 박물관이랑 무령왕릉 보는김에 들어갔는데
그냥 한옥처럼 겉모습만 지어놓았는데 흉내만 낸 느낌이었고 교통도 불편...."
41,5.0,2018.05.06.,
42,3.5,2017.10.22.,식당이 별루 안친절했습니다 ᆢ
