,평점,날짜,후기
0,4.8,2024.04.18.,시설좋아요 ㅎㅎㅎㅎ
1,5.0,2024.04.05.,찜질방 노천온천 샤워장 사우나
2,4.6,2024.03.31.,애들 온천물놀이  재미있어요
3,4.7,2024.03.06.,
4,4.0,2024.02.29.,"어린이 키즈카페 물놀이 온천 정도생각하시면
아주아주 좋습니다 잘놀았어요
음식만좀 개선하면 아주 자주오고싶은데
그냥 나가서 사먹는게 나을거같아요
돈까스 덮밥 우동 떡복이든
음식을 한줄로정리하자면
식혜시켰는데 밥풀10개있음 
대부분 다이런느낌"
5,4.5,2024.02.28.,
6,4.3,2024.02.21.,가족 단위로 가기 좋아요.!
7,2.2,2024.02.11.,"24년 2월 11일 오전 방문.
애들 놀이터로 변함.
찜질방 수리했는데 애들 위주로 공사함.
그래서 찜질 공간도 애들 뛰어 다녀  쿵쿵..
온천은 폭포수도 없어짐..
애들 놀이터로는 좋을듯
재 방문 의사 없음"
8,4.0,2024.01.28.,"다음에 갈때는 찜질 안하고 목욕만 할거예요.
찜질은 가족단위로 왔을 때 좋을거 같네요 애들 놀이터임"
9,4.0,2024.01.23.,깨끗한 시설물과 온양온천탕의 진수를 느낄수 있는 최고의 장소이네요
10,2.6,2024.01.07.,애들 놀이터임그냥.. 다신 안갈 것 같음
11,1.0,2023.12.31.,
12,3.6,2023.12.17.,
13,3.6,2023.12.01.,노후화가 많이 됐어요 아쉽
14,5.0,2023.12.01.,찜질방 사우나 샤워장
15,4.2,2023.10.28.,"평범한 크기의 목욕탕, 찜질방엔 뜨거운방 3개 아이스방1개 끝, 아이들 천장에서 우당탕탕
아이들이랑 같이가는거 아니면 어른들끼리는 절대 추천 안해요"
16,5.0,2023.10.17.,
17,3.7,2023.10.04.,좋아요 ㅎ
18,5.0,2023.09.11.,입장료 일단 저렴하구요. 삭사료도 저렴하고 및취학아동이 놀기 딱좋아요
19,5.0,2023.08.21.,
20,3.0,2023.08.16.,
21,4.9,2023.08.11.,찜질방 노천온천 샤워장 사우나 헬스장
22,2.7,2023.06.24.,"수영장 식당에서 아줌마들 너무 무례하고 입구 직원들도 무례하고 청소하시는 분들도 무례함,다시 저기로 가고싶지 않아요"
23,4.0,2023.05.28.,"이런 리뷰 잘 작성하지 않는 사람인데
너무 당혹스러워서 리뷰 남깁니다.

아무리 키즈 존이 있고 가족들 놀럭오는 곳이라지만
정말 너무하네요..
 
새벽 6시부터 애들이 쿵쾅쿵쾅 물건을 치고 소리를 지르고 온 동네방네 뛰어다닙니다.
키즈존에서만 그렇게 뛰어다니고 소리치면 참아라도 보는데 이건 정말 아닌 것 같아요.
아이 부모님도 하나도 통제하지 않고 방치합니다.

키즈 온천랜드로 이름을 바꾸시던지
노키즈존을 따로 분리해주시면 더 좋을 듯 하네요.

돈만 버리고 스트레스 받고 갑니다.
찜질방에 쉴 수 있는 공간도 매트도 없고

매점 가격과 식당 가격도 저렴하지 않은데
그만큼 찜질방과 온천 이용 고객을 고려하신건지 의문이 드네요.

쉬려고 왔다가 밥만 먹고 갑니다."
24,1.0,2023.05.28.,"진짜 두번다신 안올듯 싶네요
기본적으로 관리가 안돼있습니다

애들이 난리치면서 뛰어다니는데 부모들은 관리 안하고 시설측에서도 관리할 생각 없음
수면실에도 불만 꺼져있지 사방에서 애들 뛰어다니는 진동 소음 하..
어딜가든 꺅꺅소리에 쉬러와서 잠 한숨 못자고 스트레스만 받다감.

옷에서 쉰내 땀내 제대로 세탁 안돼서 그대로 다나고 불쾌함

공기 순환 안돼서 졸라 답답하고 찝찝한데 에어컨도 제대로 안틀어서 공기가 썩어있음

돈이 저렴한것도 아닌데 돈 갖다버린 느낌 잔뜩 화만 나네요

리뷰 안좋길래 갈까말까 매우 고민하다가 에라이 모르겠다하고 일단 와봤는데 두번다시 안올듯 싶습니다 돈 버렸어요 혹시나 이거 읽게되시는분 계시면 절대 오지마세요"
25,4.3,2023.05.15.,"찜질방14000원 칫솔700원
7년전쯤 오픈할때 너무 좋아서 감탄했었다 시설관리를 잘해서 지금도 깨끗하네요"
26,3.0,2023.04.17.,"무리지어 다니면서 텃세 부리고 시비거는  5~60대 아줌마들 때문에 불쾌한 경험했네요.  
다시는 가고 싶지 않은 곳입니다."
27,2.8,2023.04.02.,"노천탕 너무좋아요..
세신은 다른곳대비 비싼편"
28,3.2,2023.02.27.,안전에 민감하신분들은 방문하지 마세요 초등 고학년? 큰애들이 시설물 독차지 하고 있고 미끄럼틀 위험하게 타고 있는데도 제지하는 직원은 없고 제 아이가 아니더라도 누구 하나 다칠까봐 조마조마 하더라구요
29,4.2,2023.02.08.,"5,6층 아이들 물놀이 시설은 괜찮은 편이나 겨울에 방문했는데 좀 추웠어요
사우나 시설은 그닥 이었고 건물 관리도 철골에 녹이 쓴게 눈에 보이고 위생 상태도 별루였어요.. 진짜 아이들이 너무 좋아라 해서 재 방문할 예정이긴 하지만 어른들에게 추천할만한 곳은 아닌것 같아요"
30,3.0,2023.02.04.,돈 갔다버리려면 오세요
31,1.0,2023.02.04.,작은 악마들이 활개치는 작은 지옥 그자체입니다.
